genre,year_album_release,valence_mean
Dangdut,2022,0.6712703422053232
Dangdut,2023,0.6482651972157772
Dangdut,2021,0.7001578947368421
Dangdut,2008,0.8133191489361702
Dangdut,2009,0.753975
Dangdut,2020,0.6948571428571428
Dangdut,2012,0.7625121951219512
Dangdut,2019,0.6926271186440678
Dangdut,2015,0.8183333333333334
Dangdut,2014,0.7820379746835443
Dangdut,1994,0.7505833333333333
Dangdut,2018,0.7151868131868132
Dangdut,1990,0.6601111111111111
Dangdut,2013,0.7731481481481481
Dangdut,2005,0.6417714285714285
Dangdut,2017,0.7421639344262295
Dangdut,2006,0.7882068965517242
Dangdut,1988,0.647
Dangdut,1977,0.494
Dangdut,1991,0.8131666666666667
Dangdut,1975,0.49050000000000005
Dangdut,1976,0.7205
Dangdut,1996,0.7496923076923077
Dangdut,1995,0.7754666666666666
Dangdut,2010,0.8321428571428572
Dangdut,1993,0.7784
Dangdut,1978,0.38825
Dangdut,1997,0.6645714285714286
Dangdut,1981,0.524
Dangdut,1980,0.45471428571428574
Dangdut,1982,0.39349999999999996
Dangdut,1983,0.805
Dangdut,2001,0.8175
Dangdut,1989,0.5295
Dangdut,1987,0.61275
Dangdut,1979,0.4495
Dangdut,1974,0.7763333333333333
Dangdut,1973,0.907
Dangdut,2016,0.7298095238095238
Dangdut,2024,0.5756478527607362
Dangdut,2004,0.6620833333333334
Dangdut,2007,0.8009411764705883
Dangdut,2011,0.85
Dangdut,2000,0.6591
Dangdut,2002,0.8388333333333333
Dangdut,2003,0.6492222222222223
Dangdut,1999,0.7688888888888888
Dangdut,1998,0.6731578947368421
Dangdut,1992,0.9485
Dangdut,1984,0.318
Dangdut,1985,0.92
Dangdut,1986,0.7615000000000001
Electronic,2018,0.34608613138686134
Electronic,2014,0.40428257575757576
Electronic,2015,0.4473888888888889
Electronic,2023,0.39880862831858405
Electronic,2012,0.513605
Electronic,2021,0.40112659574468085
Electronic,2013,0.44679183673469386
Electronic,2017,0.37159811320754715
Electronic,2022,0.43789095477386936
Electronic,2010,0.544325
Electronic,2020,0.3831306569343066
Electronic,2016,0.3679688524590164
Electronic,2019,0.36323432835820896
Electronic,2001,0.5314347826086956
Electronic,2008,0.6059032258064516
Electronic,2007,0.5944242424242424
Electronic,2004,0.5670000000000001
Electronic,2011,0.531975
Electronic,2024,0.34568617647058825
Electronic,2009,0.5084352941176471
Electronic,1995,0.6342
Electronic,2005,0.5930444444444445
Electronic,1996,0.7215
Electronic,2003,0.61145
Electronic,1999,0.5896666666666667
Electronic,1997,0.786
Electronic,2006,0.619909090909091
Electronic,2000,0.5923066666666666
Electronic,1994,0.7826666666666667
Electronic,1992,0.488375
Electronic,1990,0.5605
Electronic,1998,0.60719375
Electronic,1993,0.57425
Electronic,2002,0.4545
Electronic,1981,0.6152631578947368
Electronic,1988,0.72575
Electronic,1982,0.7730769230769231
Electronic,1983,0.7272500000000001
Electronic,1985,0.7266923076923077
Electronic,1986,0.83325
Electronic,1984,0.738764705882353
Electronic,1991,0.445
Electronic,1979,0.7236
Electronic,1989,0.771
Electronic,1975,0.612
Electronic,1980,0.76375
Electronic,1978,0.5676666666666667
Electronic,1987,0.67725
Hip hop,2021,0.5647338235294118
Hip hop,2013,0.6037073170731707
Hip hop,2017,0.5101596026490066
Hip hop,2018,0.4799225352112676
Hip hop,2015,0.56224
Hip hop,2008,0.5666256756756757
Hip hop,2020,0.5304280821917808
Hip hop,2019,0.5081259842519685
Hip hop,2016,0.5535775000000001
Hip hop,2002,0.6319117647058824
Hip hop,2014,0.5598943820224719
Hip hop,2004,0.5999
Hip hop,2022,0.6172454545454545
Hip hop,2005,0.5985432432432433
Hip hop,2009,0.6279285714285714
Hip hop,2001,0.6912666666666667
Hip hop,2003,0.6808524590163935
Hip hop,2006,0.6166227272727273
Hip hop,2000,0.648804347826087
Hip hop,2007,0.5932153846153846
Hip hop,1999,0.6601081081081082
Hip hop,2010,0.6592159090909091
Hip hop,2011,0.5461071428571429
Hip hop,1993,0.6358148148148148
Hip hop,1997,0.6671666666666667
Hip hop,2023,0.5577861445783132
Hip hop,2012,0.5872149253731344
Hip hop,2024,0.48892527075812275
Hip hop,1966,0.612
Hip hop,1996,0.6456571428571428
Hip hop,1987,0.727
Hip hop,1991,0.635888888888889
Hip hop,1998,0.63740625
Hip hop,1976,0.819
Hip hop,1995,0.5708611111111112
Hip hop,1994,0.64565
Hip hop,1992,0.6470555555555556
Hip hop,1990,0.6688
Hip hop,1979,0.25
Hip hop,1988,0.5283333333333333
Hip hop,1986,0.947
Hip hop,1984,0.552
Hip hop,1980,0.819
Jazz,2002,0.47698285714285715
Jazz,1987,0.4559047619047619
Jazz,1985,0.5168
Jazz,1981,0.4489142857142857
Jazz,1982,0.5576363636363636
Jazz,1984,0.5012083333333334
Jazz,1983,0.43572727272727274
Jazz,2012,0.5374970588235294
Jazz,2011,0.5216875
Jazz,2000,0.44719565217391305
Jazz,1995,0.47350625
Jazz,1994,0.5557714285714286
Jazz,2015,0.46337532467532466
Jazz,2001,0.48000238095238096
Jazz,2005,0.517827027027027
Jazz,2006,0.4166782608695652
Jazz,1996,0.5052318181818182
Jazz,1986,0.4543333333333333
Jazz,1988,0.5640000000000001
Jazz,1963,0.3932769230769231
Jazz,2017,0.41234337349397593
Jazz,2013,0.477576
Jazz,1997,0.48168421052631577
Jazz,2014,0.4550147540983607
Jazz,2010,0.51152
Jazz,2003,0.5234
Jazz,2007,0.50265
Jazz,1999,0.4071875
Jazz,2009,0.48588387096774194
Jazz,1978,0.515
Jazz,1977,0.5874705882352941
Jazz,1992,0.39115384615384613
Jazz,1975,0.471875
Jazz,1980,0.5886818181818182
Jazz,1993,0.5376
Jazz,2018,0.4316733870967742
Jazz,2023,0.31442195945945944
Jazz,2022,0.3347807531380753
Jazz,2024,0.2951558878504673
Jazz,1956,0.42954545454545456
Jazz,1962,0.3863842105263158
Jazz,1964,0.38300416666666665
Jazz,1955,0.3172714285714286
Jazz,1998,0.5119
Jazz,1961,0.3953809523809524
Jazz,1959,0.3350730769230769
Jazz,2008,0.48529347826086955
Jazz,1957,0.320996
Jazz,1989,0.4799090909090909
Jazz,2020,0.4134713286713287
Jazz,1966,0.6165
Jazz,1958,0.4161846153846154
Jazz,2004,0.3835166666666667
Jazz,1949,0.186
Jazz,1969,0.291
Jazz,1960,0.36834761904761903
Jazz,2021,0.4174054347826087
Jazz,2016,0.47656
Jazz,1991,0.453625
Jazz,2019,0.3685946564885496
Jazz,1990,0.519
Jazz,1973,0.5523333333333333
Jazz,1979,0.5982
Jazz,1972,0.4313666666666667
Jazz,1976,0.46438
Jazz,1967,0.5296923076923077
Jazz,1965,0.5144666666666666
Jazz,1952,0.5106666666666666
Jazz,1954,0.37845
Jazz,1970,0.643
Jazz,1968,0.43416666666666665
Jazz,1971,0.4225714285714286
Jazz,1951,0.206
Jazz,1950,0.2275
Jazz,1953,0.467
Jazz,1945,0.4255
Jazz,1948,0.649
Jazz,1974,0.635
Metal,2018,0.30558103448275864
Metal,2022,0.3490921875
Metal,2015,0.2621169811320755
Metal,2013,0.31515344827586206
Metal,2004,0.35736666666666667
Metal,2002,0.5127727272727273
Metal,2007,0.3939609756097561
Metal,2006,0.34030212765957446
Metal,2009,0.33258297872340425
Metal,2005,0.41649423076923076
Metal,2017,0.30227017543859647
Metal,2011,0.32305849056603775
Metal,2010,0.31361923076923076
Metal,2008,0.306415
Metal,2012,0.32670208333333334
Metal,1994,0.42619999999999997
Metal,2023,0.3630764331210191
Metal,2016,0.2930395161290323
Metal,1998,0.4705897435897436
Metal,2019,0.33294285714285715
Metal,2020,0.28861558441558444
Metal,2014,0.30605479452054796
Metal,1992,0.42054166666666665
Metal,1990,0.2903307692307692
Metal,2021,0.36035
Metal,1979,0.29712500000000003
Metal,2024,0.3283419047619048
Metal,1991,0.4280918918918919
Metal,1997,0.4689761904761905
Metal,2003,0.4491679245283019
Metal,1986,0.4239727272727273
Metal,1996,0.46628846153846154
Metal,1988,0.46254687499999997
Metal,1983,0.4260909090909091
Metal,1984,0.39218536585365854
Metal,1987,0.4490764705882353
Metal,1970,0.4322
Metal,1989,0.2832764705882353
Metal,1980,0.4484736842105263
Metal,1978,0.5552
Metal,1971,0.5085
Metal,1973,0.29400000000000004
Metal,1981,0.5984444444444444
Metal,1975,0.4166666666666667
Metal,1982,0.360625
Metal,1976,0.485125
Metal,1974,0.445
Metal,1972,0.38025
Metal,1968,0.164
Metal,2001,0.43620833333333336
Metal,1993,0.286625
Metal,1985,0.48775
Metal,2000,0.46506896551724136
Metal,1999,0.3236977777777778
Metal,1995,0.4416578947368421
Metal,1966,0.612
Pop,2022,0.5183889312977099
Pop,2023,0.4841750716332378
Pop,2015,0.5340581395348837
Pop,2016,0.4765490196078431
Pop,2013,0.4981153846153846
Pop,2019,0.5137195121951219
Pop,2017,0.5137726190476191
Pop,2014,0.4830952380952381
Pop,2005,0.5061016949152543
Pop,2021,0.5311949579831933
Pop,2018,0.4933
Pop,2002,0.600027397260274
Pop,2006,0.4978020408163265
Pop,2010,0.5359478260869566
Pop,2020,0.46226344086021504
Pop,2012,0.4348474576271186
Pop,2009,0.5326027397260275
Pop,2011,0.4687923076923077
Pop,2004,0.44046714285714283
Pop,2001,0.5118588235294118
Pop,2008,0.5074747663551402
Pop,2007,0.542345945945946
Pop,2003,0.48475409836065575
Pop,2000,0.5739487179487179
Pop,1999,0.5451315789473684
Pop,1994,0.6161818181818182
Pop,1995,0.44277500000000003
Pop,1993,0.461575
Pop,1998,0.6520857142857143
Pop,1997,0.6253913043478261
Pop,1996,0.6952941176470588
Pop,1984,0.7235384615384616
Pop,1989,0.4594
Pop,1983,0.6992857142857143
Pop,1987,0.6098947368421053
Pop,1990,0.45407142857142857
Pop,1985,0.6506153846153846
Pop,1988,0.7025714285714286
Pop,1986,0.5740000000000001
Pop,2024,0.4964623404255319
Pop,1991,0.4422923076923077
Pop,1981,0.6275714285714286
Pop,1982,0.678375
Pop,1980,0.5338235294117647
Pop,1978,0.5866666666666667
Pop,1979,0.575
Pop,1971,0.86
Pop,1977,0.167
Pop,1992,0.6356666666666666
Pop,1973,0.597
Punk,2006,0.5258888888888889
Punk,2005,0.5411244444444444
Punk,2008,0.515578125
Punk,2007,0.53161
Punk,2022,0.5514722222222223
Punk,2009,0.515245283018868
Punk,2016,0.5329553571428571
Punk,2017,0.521427
Punk,2015,0.5096767441860465
Punk,2011,0.4628675675675676
Punk,2013,0.5210884615384616
Punk,2003,0.5431783783783783
Punk,2012,0.5625104166666667
Punk,2000,0.5448
Punk,2023,0.5382459349593496
Punk,1988,0.707
Punk,1987,0.6178666666666667
Punk,1984,0.5195925925925926
Punk,1982,0.5060086956521739
Punk,1986,0.46473548387096775
Punk,1995,0.5317055555555555
Punk,1999,0.5710293103448276
Punk,2021,0.5502794117647059
Punk,1989,0.5996875
Punk,2010,0.5430953846153846
Punk,1998,0.6143636363636363
Punk,2014,0.48943043478260867
Punk,2024,0.5160020833333333
Punk,2020,0.5034191780821918
Punk,2002,0.5774973684210526
Punk,2004,0.5376392857142858
Punk,1997,0.516725
Punk,2018,0.5070263565891473
Punk,1978,0.7305714285714285
Punk,1996,0.57595833333333335
Punk,1977,0.5244444444444445
Punk,1979,0.70325
Punk,1993,0.5304615384615384
Punk,2001,0.63803125
Punk,1994,0.628
Punk,1991,0.5288
Punk,2019,0.5096662650602409
Punk,1990,0.6346666666666667
Punk,1985,0.4868095238095238
Punk,1992,0.5964545454545455
Punk,1980,0.5346875
Punk,1976,0.738
Punk,1972,0.6579999999999999
Punk,1966,0.5636666666666666
Punk,1983,0.5570952380952381
Punk,1981,0.4355
Punk,1969,0.107
Punk,1975,0.4713333333333333
Punk,1973,0.6855
Punk,1970,0.328
Punk,1961,0.884
Punk,1965,0.8572500000000001
Punk,1974,0.464
Punk,1964,0.71
Punk,1968,0.533
Punk,1967,0.526
Punk,1957,0.967
Punk,1947,0.93
Punk,1971,0.625
R&B,1998,0.60044
R&B,1999,0.61934375
R&B,2004,0.5936277777777778
R&B,2018,0.3832691011235955
R&B,2022,0.4546210332103321
R&B,2021,0.45844979919678713
R&B,2016,0.434
R&B,2013,0.466016
R&B,2019,0.4178523316062176
R&B,2015,0.4595181818181818
R&B,2017,0.4231146853146853
R&B,2020,0.4557336
R&B,2023,0.44910535714285715
R&B,2014,0.4125325581395349
R&B,1994,0.6529444444444444
R&B,2011,0.44335555555555556
R&B,2024,0.44460102739726026
R&B,2010,0.5512682926829269
R&B,2012,0.405709375
R&B,2008,0.6182539682539683
R&B,2001,0.6756153846153846
R&B,2005,0.5746727272727272
R&B,2009,0.5709736842105263
R&B,2007,0.5456796875
R&B,2002,0.6652972972972973
R&B,2003,0.6358709677419355
R&B,2006,0.5962222222222222
R&B,2000,0.6099565217391304
R&B,1997,0.602
R&B,1996,0.668
R&B,1995,0.52925
R&B,1993,0.5752307692307692
R&B,1990,0.7491666666666666
R&B,1992,0.5961818181818181
R&B,1991,0.6829000000000001
R&B,1986,0.768
R&B,1968,0.914
R&B,1985,0.393
R&B,1988,0.6593333333333333
R&B,1973,0.784
R&B,1969,0.822
R&B,1980,0.906
R&B,1984,0.594
R&B,1972,0.298
R&B,1967,0.965
R&B,1982,0.83
R&B,1981,0.762
R&B,1979,0.848
Reggae,2017,0.7306829268292683
Reggae,2004,0.7285294117647059
Reggae,2015,0.7953755813953488
Reggae,2005,0.7571071428571429
Reggae,2014,0.7557076923076923
Reggae,2003,0.724
Reggae,2008,0.7230222222222222
Reggae,2010,0.7371609195402299
Reggae,2013,0.7571348314606742
Reggae,2009,0.7375
Reggae,2007,0.7309856115107913
Reggae,2012,0.730204081632653
Reggae,2023,0.6656292899408284
Reggae,2011,0.7125555555555556
Reggae,2018,0.6698510638297872
Reggae,2016,0.7070217741935484
Reggae,2006,0.7168795180722891
Reggae,2001,0.7206956521739131
Reggae,2019,0.6678288288288289
Reggae,1996,0.6905
Reggae,1991,0.73475
Reggae,2002,0.7531186440677966
Reggae,1980,0.7769375
Reggae,1978,0.6944285714285714
Reggae,1983,0.7117142857142857
Reggae,1973,0.8105454545454546
Reggae,1977,0.8250526315789474
Reggae,1999,0.6836315789473685
Reggae,1997,0.7127058823529412
Reggae,1976,0.7238571428571429
Reggae,1979,0.824
Reggae,1982,0.7838095238095238
Reggae,1984,0.7867272727272727
Reggae,2000,0.7855
Reggae,1981,0.8051666666666667
Reggae,1994,0.7595
Reggae,1995,0.6920000000000001
Reggae,1975,0.73475
Reggae,1993,0.7601666666666667
Reggae,2020,0.6570574712643679
Reggae,2021,0.6792111111111111
Reggae,1987,0.8086666666666666
Reggae,2022,0.6824820143884892
Reggae,2024,0.6699715328467153
Reggae,1989,0.8518
Reggae,1988,0.821
Reggae,1998,0.677
Reggae,1967,0.832
Reggae,1992,0.6326666666666667
Reggae,1972,0.9485
Reggae,1970,0.887
Reggae,1990,0.7355
Reggae,1986,0.7595
Reggae,1971,0.625
Reggae,1974,0.6205
Rock,2024,0.49699277108433737
Rock,1987,0.44655172413793104
Rock,2023,0.47474896907216496
Rock,2001,0.5157710843373494
Rock,2016,0.600701754385965
Rock,1993,0.4594081632653061
Rock,1994,0.4803963636363636
Rock,2004,0.46876206896551725
Rock,2014,0.5764775510204082
Rock,2012,0.6093382352941177
Rock,2006,0.4970881818181818
Rock,1997,0.53056
Rock,1992,0.5056145161290323
Rock,2000,0.5201521739130435
Rock,2002,0.5332637362637362
Rock,2009,0.5239892307692308
Rock,2015,0.541625
Rock,2011,0.6365962962962963
Rock,2003,0.5129326530612245
Rock,2020,0.434904
Rock,2021,0.4958238095238095
Rock,2022,0.4877575757575758
Rock,1999,0.5782985074626865
Rock,1996,0.561425
Rock,2019,0.48091428571428574
Rock,2017,0.5017234042553191
Rock,2013,0.5773285714285714
Rock,2005,0.519739175257732
Rock,2008,0.5548
Rock,2007,0.5471
Rock,2010,0.5347595744680851
Rock,1990,0.397675
Rock,1991,0.4229088607594937
Rock,1989,0.4095111111111111
Rock,1998,0.6050208333333333
Rock,1995,0.461275
Rock,1986,0.5541200000000001
Rock,1981,0.6262222222222222
Rock,1983,0.5694375
Rock,1984,0.5845588235294118
Rock,1973,0.44284615384615383
Rock,1977,0.5736666666666667
Rock,1970,0.5800909090909091
Rock,1988,0.4738076923076923
Rock,2018,0.41425806451612907
Rock,1980,0.6042727272727273
Rock,1979,0.6873
Rock,1969,0.6752222222222223
Rock,1976,0.5485833333333333
Rock,1974,0.5996
Rock,1972,0.556
Rock,1971,0.5648333333333333
Rock,1985,0.5444714285714286
Rock,1966,0.5792499999999999
Rock,1975,0.5668181818181818
Rock,1965,0.931
Rock,1982,0.6084
Rock,1978,0.7022727272727273
Rock,1968,0.6316666666666667
Rock,1960,0.7373333333333333
Rock,1961,0.598
Rock,1967,0.764
